nom_pkmn,nom_pkmn_us,num_pokedex,url_image,url_cri,type_1,type_2,taille_m,poids_kg,talent_1,talent_2,talent_cache,sexe,taux_de_capture,cycle_eclosion,groupe_oeuf_1,groupe_oeuf_2,points_effort,points_exp,exp_niv100,pv,attaque,attaque_speciale,defense,defense_speciale,vitesse
Capumain,Aipom,0190,/images/thumb/8/88/Capumain-HGSS.png/250px-Capumain-HGSS.png,/images/b/be/Cri_0190_HOME.ogg,Normal,,"0,8","11,5",Fuite,Ramassage,Multi-Coups,50 % femelle; 50 % mâle,45,20,Terrestre,,+1 Vit.,94 exp.,800 000 exp.,55,70,55,55,55,85
Cotovol,Jumpluff,0189,/images/thumb/6/61/Cotovol-HGSS.png/250px-Cotovol-HGSS.png,/images/4/4d/Cri_0189_HOME.ogg,Plante,Vol,"0,8","3,0",Chlorophylle,Feuille Garde ,Infiltration,50 % femelle; 50 % mâle,45,20,Féerique,Végétal,+3 Vit.,176 exp.,1 059 860 exp.,75,55,70,70,95,110
Floravol,Skiploom,0188,/images/thumb/5/5c/Floravol-HGSS.png/250px-Floravol-HGSS.png,/images/6/6c/Cri_0188_HOME.ogg,Plante,Vol,"0,6","1,0",Chlorophylle,Feuille Garde ,Infiltration,50 % femelle; 50 % mâle,120,20,Féerique,Végétal,+2 Vit.,136 exp.,1 059 860 exp.,55,45,50,50,65,80
Granivol,Hoppip,0187,/images/thumb/9/9b/Granivol-HGSS.png/250px-Granivol-HGSS.png,/images/3/39/Cri_0187_HOME.ogg,Plante,Vol,"0,4","0,5",Chlorophylle,Feuille Garde,Infiltration,50 % femelle; 50 % mâle,255,20,Féerique,Végétal,+1 Déf. Spé,74 exp.,1 059 860 exp.,35,35,40,40,55,50
Tarpaud,Politoed,0186,/images/thumb/c/c2/Tarpaud-HGSS.png/250px-Tarpaud-HGSS.png,/images/a/ac/Cri_0186_HOME.ogg,Eau,,"1,1","33,9",Absorbe-Eau,Moiteur,Crachin,50 % femelle; 50 % mâle,45,20,Aquatique 1,,+3 Déf. Spé,185 exp.,1 059 860 exp.,90,75,75,75,100,70
Simularbre,Sudowoodo,0185,/images/thumb/4/43/Simularbre-HGSS.png/250px-Simularbre-HGSS.png,/images/d/d4/Cri_0185_HOME.ogg,Roche,,"1,2","38,0",Fermeté,Tête de Roc,Phobique,50 % femelle; 50 % mâle,65,20,Minéral,,+2 Déf.,135 exp.,1 059 860 exp.,70,100,115,115,65,30
Azumarill,Azumarill,0184,/images/thumb/8/81/Azumarill-HGSS.png/250px-Azumarill-HGSS.png,/images/1/15/Cri_0184_HOME.ogg,Eau,Fée,"0,8","28,5",Isograisse,Coloforce,Herbivore,50 % femelle; 50 % mâle,75,10,Aquatique 1,Féerique,+3 PV,153 exp.,800 000 exp.,100,50,80,80,80,50
Marill,Marill,0183,/images/thumb/c/c7/Marill-RFVF.png/250px-Marill-RFVF.png,/images/d/dc/Cri_0183_HOME.ogg,Eau,Fée,"0,4","8,5",Isograisse,Coloforce,Herbivore,50 % femelle; 50 % mâle,190,10,Aquatique 1,Féerique,+2 PV,58 exp.,800 000 exp.,70,20,50,50,50,40
Joliflor,Bellossom,0182,/images/thumb/f/f0/Joliflor-RFVF.png/250px-Joliflor-RFVF.png,/images/e/e4/Cri_0182_HOME.ogg,Plante,,"0,4","5,8",Chlorophylle,,Cœur Soin,50 % femelle; 50 % mâle,45,20,Végétal,,+3 Déf. Spé,184 exp.,1 059 860 exp.,75,80,95,95,100,50
Méga-Pharamp,Mega Ampharos,0181,/images/thumb/7/74/M%C3%A9ga-Pharamp-XY.png/250px-M%C3%A9ga-Pharamp-XY.png,/images/b/b6/Cri_0181_M%C3%A9ga_HOME.ogg,Électrik,Dragon,"1,4","61,5",Brise Moule,,,50 % femelle; 50 % mâle,,,,,,,,90,95,105,105,110,45
Pharamp,Ampharos,0181,/images/thumb/e/e8/Pharamp-HGSS.png/250px-Pharamp-HGSS.png,/images/e/ee/Cri_0181_HOME.ogg,Électrik,,"1,4","61,5",Statik,,Plus,50 % femelle; 50 % mâle,45,20,Monstrueux,Terrestre,+3 Att. Spé,196 exp.,1 059 860 exp.,90,75,85,85,90,55
Lainergie,Flaaffy,0180,/images/thumb/3/34/Lainergie-HGSS.png/250px-Lainergie-HGSS.png,/images/7/76/Cri_0180_HOME.ogg,Électrik,,"0,8","13,3",Statik,,Plus,50 % femelle; 50 % mâle,120,20,Terrestre,Monstrueux,+2 Att. Spé,117 exp.,1 059 860 exp.,70,55,55,55,60,45
Wattouat,Mareep,0179,/images/thumb/7/7f/Wattouat-HGSS.png/250px-Wattouat-HGSS.png,/images/e/e3/Cri_0179_HOME.ogg,Électrik,,"0,6","7,8",Statik,,Plus,50 % femelle; 50 % mâle,235,20,Terrestre,Monstrueux,+1 Att. Spé,59 exp.,1 059 860 exp.,55,40,40,40,45,35
Xatu,Xatu,0178,/images/thumb/0/09/Xatu-HGSS.png/250px-Xatu-HGSS.png,/images/d/d4/Cri_0178_HOME.ogg,Psy,Vol,"1,5","15,0",Synchro,Matinal,Miroir Magik,50 % femelle; 50 % mâle,75,20,Aérien,,+1 Att. Spé ; +1 Vit.,171 exp.,1 000 000 exp.,65,75,70,70,70,95
Natu,Natu,0177,/images/thumb/b/b2/Natu-HGSS.png/250px-Natu-HGSS.png,/images/b/b5/Cri_0177_HOME.ogg,Psy,Vol,"0,2","2,0",Synchro,Matinal,Miroir Magik,50 % femelle; 50 % mâle,190,20,Aérien,,+1 Att. Spé,73 exp.,1 000 000 exp.,40,50,45,45,45,70
Togetic,Togetic,0176,/images/thumb/2/2d/Togetic-HGSS.png/250px-Togetic-HGSS.png,/images/5/51/Cri_0176_HOME.ogg,Fée,Vol,"0,6","3,2",Sérénité,Agitation,Chanceux,12.5 % femelle; 87.5 % mâle,75,10,Aérien,Féerique,+2 Défense Spéciale.,114 exp.,800 000 exp.,55,40,85,85,105,40
Togepi,Togepi,0175,/images/thumb/8/8f/Togepi-RFVF.png/250px-Togepi-RFVF.png,/images/7/7e/Cri_0175_HOME.ogg,Fée,,"0,3","1,5",Sérénité,Agitation,Chanceux,12.5 % femelle; 87.5 % mâle,190,10,Inconnu,,+1 Déf. Spé,74 exp.,800 000 exp.,35,20,65,65,65,20
Toudoudou,Igglybuff,0174,/images/thumb/1/1d/Toudoudou-RFVF.png/250px-Toudoudou-RFVF.png,/images/8/87/Cri_0174_HOME.ogg,Normal,Fée,"0,3","1,0",Joli Sourire,Battant,Garde-Ami,75 % femelle; 25 % mâle,170,10,Inconnu,,+1 PV,39 exp.,800 000 exp.,90,30,15,15,20,15
Mélo,Cleffa,0173,/images/thumb/e/eb/M%C3%A9lo-RFVF.png/250px-M%C3%A9lo-RFVF.png,/images/8/82/Cri_0173_HOME.ogg,Fée,,"0,3","3,0",Joli Sourire,Garde Magik,Garde-Ami,75 % femelle; 25 % mâle,150,10,Inconnu,,+1 Déf. Spé,37 exp.,800 000 exp.,50,25,28,28,55,15
Pichu,Pichu,0172,/images/thumb/a/a0/Pichu-RFVF.png/250px-Pichu-RFVF.png,/images/0/01/Cri_0172_HOME.ogg,Électrik,,"0,3","2,0",Statik,,Paratonnerre,50 % femelle; 50 % mâle,190,10,Inconnu,,+1 Vit.,42 exp.,1 000 000 exp.,20,40,15,15,35,60
Lanturn,Lanturn,0171,/images/thumb/8/8e/Lanturn-HGSS.png/250px-Lanturn-HGSS.png,/images/b/b5/Cri_0171_HOME.ogg,Eau,Électrik,"1,2","22,5",Absorbe-Volt,Lumiattirance,Absorbe-Eau,50 % femelle; 50 % mâle,75,20,Aquatique 2,,+2 PV,156 exp.,1 250 000 exp.,125,58,58,58,76,67
Loupio,Chinchou,0170,/images/thumb/d/de/Loupio-HGSS.png/250px-Loupio-HGSS.png,/images/9/96/Cri_0170_HOME.ogg,Eau,Électrik,"0,5","12,0",Absorbe-Volt,Lumiattirance,Absorbe-Eau,50 % femelle; 50 % mâle,190,20,Aquatique 2,,+1 PV,90 exp.,1 250 000 exp.,75,38,38,38,56,67
Nostenfer,Crobat,0169,/images/thumb/d/dc/Nostenfer-HGSS.png/250px-Nostenfer-HGSS.png,/images/e/e1/Cri_0169_HOME.ogg,Poison,Vol,"1,8","75,0",Attention,,Infiltration,50 % femelle; 50 % mâle,90,15,Aérien,,+3 Vit.,204 exp.,1 000 000 exp.,85,90,80,80,80,130
Migalos,Ariados,0168,/images/thumb/1/12/Migalos-HGSS.png/250px-Migalos-HGSS.png,/images/4/46/Cri_0168_HOME.ogg,Insecte,Poison,"1,1","33,5",Essaim,Insomnia,Sniper,50 % femelle; 50 % mâle,90,15,Insectoïde,,+2 Att.,134 exp.,800 000 exp.,70,90,70,70,70,40
Mimigal,Spinarak,0167,/images/thumb/3/3e/Mimigal-HGSS.png/250px-Mimigal-HGSS.png,/images/9/9a/Cri_0167_HOME.ogg,Insecte,Poison,"0,5","8,5",Essaim,Insomnia,Sniper,50 % femelle; 50 % mâle,255,15,Insectoïde,,+1 Att.,54 exp.,800 000 exp.,40,60,40,40,40,30
Coxyclaque,Ledian,0166,/images/thumb/4/43/Coxyclaque-HGSS.png/250px-Coxyclaque-HGSS.png,/images/8/8f/Cri_0166_HOME.ogg,Insecte,Vol,"1,4","35,6",Essaim,Matinal,Poing de Fer,50 % femelle; 50 % mâle,90,15,Insectoïde,,+2 Déf. Spé,134 exp.,800 000 exp.,55,35,50,50,110,85
Coxy,Ledyba,0165,/images/thumb/f/f1/Coxy-RFVF.png/250px-Coxy-RFVF.png,/images/2/28/Cri_0165_HOME.ogg,Insecte,Vol,"1,0","10,8",Essaim,Matinal,Phobique,50 % femelle; 50 % mâle,255,15,Insectoïde,,+1 Déf. Spé,54 exp.,800 000 exp.,40,20,30,30,80,55
Noarfang,Noctowl,0164,/images/thumb/8/8c/Noarfang-HGSS.png/250px-Noarfang-HGSS.png,/images/5/53/Cri_0164_HOME.ogg,Normal,Vol,"1,6","40,8",Insomnia,Regard Vif,Lentiteintée,50 % femelle; 50 % mâle,90,15,Aérien,,+2 PV,162 exp.,1 000 000 exp.,100,50,50,50,96,70
Hoothoot,Hoothoot,0163,/images/thumb/9/97/Hoothoot-RFVF.png/250px-Hoothoot-RFVF.png,/images/f/f5/Cri_0163_HOME.ogg,Normal,Vol,"0,7","21,2",Insomnia,Regard Vif,Lentiteintée,50 % femelle; 50 % mâle,255,15,Aérien,,+1 PV,58 exp.,1 000 000 exp.,60,30,30,30,56,50
Fouinar,Furret,0162,/images/thumb/2/23/Fouinar-HGSS.png/250px-Fouinar-HGSS.png,/images/d/d1/Cri_0162_HOME.ogg,Normal,,"1,8","32,5",Fuite,Regard Vif,Fouille,50 % femelle; 50 % mâle,90,15,Terrestre,,+2 Vit.,116 exp.,1 000 000 exp.,85,76,64,64,55,90
Fouinette,Sentret,0161,/images/thumb/f/fb/Fouinette-HGSS.png/250px-Fouinette-HGSS.png,/images/2/29/Cri_0161_HOME.ogg,Normal,,"0,8","6,0",Fuite,Regard Vif,Fouille,50 % femelle; 50 % mâle,255,15,Terrestre,,+1 Att.,57 exp.,1 000 000 exp.,35,46,34,34,45,20
Aligatueur,Feraligatr,0160,/images/thumb/d/d9/Aligatueur-HGSS.png/250px-Aligatueur-HGSS.png,/images/5/5d/Cri_0160_HOME.ogg,Eau,,"2,3","88,8",Torrent,,Sans Limite,12.5 % femelle; 87.5 % mâle,45,20,Aquatique 1,Monstrueux,+2 Att. ; +1 Déf.,210 exp.,1 059 860 exp.,85,105,100,100,83,78
Crocrodil,Croconaw,0159,/images/thumb/3/3c/Crocrodil-HGSS.png/250px-Crocrodil-HGSS.png,/images/a/ac/Cri_0159_HOME.ogg,Eau,,"1,1","25,0",Torrent,,Sans Limite,12.5 % femelle; 87.5 % mâle,45,20,Monstrueux,Aquatique 1,+1 Att. ; +1 Déf.,143 exp.,1 059 860 exp.,65,80,80,80,63,58
Kaiminus,Totodile,0158,/images/thumb/b/b9/Kaiminus-HGSS.png/250px-Kaiminus-HGSS.png,/images/f/f6/Cri_0158_HOME.ogg,Eau,,"0,6","9,5",Torrent,,Sans Limite,12.5 % femelle; 87.5 % mâle,45,20,Monstrueux,Aquatique 1,+1 Att.,66 exp.,1 059 860 exp.,50,65,64,64,48,43
Typhlosion de Hisui,Hisuian Typhlosion,0157,/images/thumb/b/b6/Typhlosion_de_Hisui-LPA.png/250px-Typhlosion_de_Hisui-LPA.png,/images/4/43/Cri_0157_HOME.ogg,Feu,Spectre,"1,6","69,8",Brasier,,Fouille,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+3 Att. Spé.,240 exp.,1 059 860 exp.,73,84,78,78,85,95
Typhlosion,Typhlosion,0157,/images/thumb/8/8b/Typhlosion-HGSS.png/250px-Typhlosion-HGSS.png,/images/4/43/Cri_0157_HOME.ogg,Feu,,"1,7","79,5",Brasier,,Torche,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+3 Att. Spé,209 exp.,1 059 860 exp.,78,84,78,78,85,100
Feurisson,Quilava,0156,/images/thumb/8/8a/Feurisson-HGSS.png/250px-Feurisson-HGSS.png,/images/b/be/Cri_0156_HOME.ogg,Feu,,"0,9","19,0",Brasier,,Torche,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+1 Att. Spé +1 Vit.,142 exp.,1 059 860 exp.,58,64,58,58,65,80
Héricendre,Cyndaquil,0155,/images/thumb/8/86/H%C3%A9ricendre-LPA.png/250px-H%C3%A9ricendre-LPA.png,/images/e/eb/Cri_0155_HOME.ogg,Feu,,"0,5","7,9",Brasier,,Torche,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+1 Vit.,65 exp.,1 059 860 exp.,39,52,43,43,50,65
Méganium,Meganium,0154,/images/thumb/2/2a/M%C3%A9ganium-HGSS.png/250px-M%C3%A9ganium-HGSS.png,/images/7/7e/Cri_0154_HOME.ogg,Plante,,"1,8","100,5",Engrais,,Feuille Garde,12.5 % femelle; 87.5 % mâle,45,20,Monstrueux,Végétal,+1 Déf. ; +2 Déf. Spé,208 exp.,1 059 860 exp.,80,82,100,100,100,80
Macronium,Bayleef,0153,/images/thumb/d/db/Macronium-HGSS.png/250px-Macronium-HGSS.png,/images/2/2a/Cri_0153_HOME.ogg,Plante,,"1,2","15,8",Engrais,,Feuille Garde,12.5 % femelle; 87.5 % mâle,45,20,Monstrueux,Végétal,+1 Déf. ; +1 Déf. Spé,141 exp.,1 059 860 exp.,60,62,80,80,80,60
Germignon,Chikorita,0152,/images/thumb/1/1f/Germignon-HGSS.png/250px-Germignon-HGSS.png,/images/7/7f/Cri_0152_HOME.ogg,Plante,,"0,9","6,4",Engrais,,Feuille Garde,12.5 % femelle; 87.5 % mâle,45,20,Monstrueux,Végétal,+1 Déf. Spé,64 exp.,1 059 860 exp.,45,49,65,65,65,45
Mew,Mew,0151,/images/thumb/1/16/Mew-DEPS.png/250px-Mew-DEPS.png,/images/1/11/Cri_0151_HOME.ogg,Psy,,"0,4","4,0",Synchro,,,Asexué,45,120,Inconnu,,+3 PV,64 exp.,1 059 860 exp.,100,100,100,100,100,100
Méga-Mewtwo Y,Mega Mewtwo Y,0150,/images/thumb/3/3e/M%C3%A9ga-Mewtwo_Y-XY.png/250px-M%C3%A9ga-Mewtwo_Y-XY.png,/images/d/d8/Cri_0150_M%C3%A9ga_Y_HOME.ogg,Psy,,"1,5","33,0",Insomnia,,,Asexué,,,,,,,,106,150,70,70,120,140
Méga-Mewtwo X,Mega Mewtwo X,0150,/images/thumb/5/5a/M%C3%A9ga-Mewtwo_X-XY.png/250px-M%C3%A9ga-Mewtwo_X-XY.png,/images/6/6d/Cri_0150_M%C3%A9ga_X_HOME.ogg,Psy,Combat,"2,3","127,0",Impassible,,,Asexué,,,,,,,,106,190,100,100,100,130
Mewtwo,Mewtwo,0150,/images/thumb/d/d8/Mewtwo-DEPS.png/250px-Mewtwo-DEPS.png,/images/5/53/Cri_0150_HOME.ogg,Psy,,"2,0","122,0",Pression,,Tension,Asexué,3,120,Inconnu,,+3 Att. Spé,220 exp.,1 250 000 exp.,106,110,90,90,90,130
Dracolosse,Dragonite,0149,/images/thumb/8/87/Dracolosse-RFVF.png/250px-Dracolosse-RFVF.png,/images/d/d1/Cri_0149_HOME.ogg,Dragon,Vol,"2,2","210,0",Attention,,Multiécaille,50 % femelle; 50 % mâle,45,40,Draconique,Aquatique 1,+3 Att.,218 exp.,1 250 000 exp.,91,134,95,95,100,80
Draco,Dragonair,0148,/images/thumb/d/d1/Draco-RFVF.png/250px-Draco-RFVF.png,/images/0/06/Cri_0148_HOME.ogg,Dragon,,"4,0","16,5",Mue,,Écaille Spéciale,50 % femelle; 50 % mâle,45,40,Draconique,Aquatique 1,+2 Att.,144 exp.,1 250 000 exp.,61,84,65,65,70,70
Minidraco,Dratini,0147,/images/thumb/1/11/Minidraco-RFVF.png/250px-Minidraco-RFVF.png,/images/8/80/Cri_0147_HOME.ogg,Dragon,,"1,8","3,3",Mue,,Écaille Spéciale,50 % femelle; 50 % mâle,45,40,Draconique,Aquatique 1,+1 Att.,67 exp.,1 250 000 exp.,41,64,45,45,50,50
Sulfura de Galar,Galarian Moltres,0146,/images/thumb/3/3d/Sulfura_de_Galar-EB.png/250px-Sulfura_de_Galar-EB.png,/images/9/99/Cri_0146_HOME.ogg,Ténèbres,Vol,"2,0","66,0",Folle Furie,,,Asexué,3,80,Inconnu,,—,217 exp.,1 250 000 exp.,90,85,90,90,125,90
Sulfura,Moltres,0146,/images/thumb/d/db/Sulfura-DEPS.png/250px-Sulfura-DEPS.png,/images/9/99/Cri_0146_HOME.ogg,Feu,Vol,"2,0","60,0",Pression,,Corps Ardent,Asexué,3,80,Inconnu,,+3 Att. Spé,217 exp.,1 250 000 exp.,90,100,90,90,85,90
Électhor de Galar,Galarian Zapdos,0145,/images/thumb/8/83/%C3%89lecthor_de_Galar-EB.png/250px-%C3%89lecthor_de_Galar-EB.png,/images/4/4e/Cri_0145_HOME.ogg,Combat,Vol,"1,6","58,2",Acharné,,,Asexué,3,80,Inconnu,,—,216 exp.,1 250 000 exp.,90,125,90,90,90,100
Électhor,Zapdos,0145,/images/thumb/8/81/%C3%89lecthor-RFVF.png/250px-%C3%89lecthor-RFVF.png,/images/4/4e/Cri_0145_HOME.ogg,Électrik,Vol,"1,6","52,6",Pression,,Statik,Asexué,3,80,Inconnu,,+3 Att. Spé,216 exp.,1 250 000 exp.,90,90,85,85,90,100
Artikodin de Galar,Galarian Articuno,0144,/images/thumb/2/27/Artikodin_de_Galar-EB.png/250px-Artikodin_de_Galar-EB.png,/images/b/b9/Cri_0144_HOME.ogg,Psy,Vol,"1,7","50,9",Battant,,,Asexué,3,80,Inconnu,,—,215 exp.,1 250 000 exp.,90,85,85,85,100,95
Artikodin,Articuno,0144,/images/thumb/b/bb/Artikodin-RFVF.png/250px-Artikodin-RFVF.png,/images/b/b9/Cri_0144_HOME.ogg,Glace,Vol,"1,7","55,4",Pression,,Rideau Neige,Asexué,3,80,Inconnu,,+3 Déf. Spé,215 exp.,1 250 000 exp.,90,85,100,100,125,85
Ronflex Gigamax,Gigantamax Snorlax,0143,/images/thumb/3/3c/Ronflex_%28Gigamax%29-EB.png/250px-Ronflex_%28Gigamax%29-EB.png,/images/1/14/Cri_0143_Gigamax_HOME.ogg,Normal,,"35,0","???,?",Vaccin,Isograisse,Gloutonnerie,12.5 % femelle; 87.5 % mâle,,,,,,,,,,,,,
Ronflex,Snorlax,0143,/images/thumb/2/2b/Ronflex-RFVF.png/250px-Ronflex-RFVF.png,/images/e/e3/Cri_0143_HOME.ogg,Normal,,"2,1","460,0",Vaccin,Isograisse,Gloutonnerie,12.5 % femelle; 87.5 % mâle,25,40,Monstrueux,,+2 PV,154 exp.,1 250 000 exp.,160,110,65,65,110,30
Méga-Ptéra,Mega Aerodactyl,0142,/images/thumb/3/3b/M%C3%A9ga-Pt%C3%A9ra-XY.png/250px-M%C3%A9ga-Pt%C3%A9ra-XY.png,/images/d/de/Cri_0142_M%C3%A9ga_HOME.ogg,Roche,Vol,"2,1","79,0",Griffe Dure,,,12.5 % femelle; 87.5 % mâle,,,,,,,,80,135,85,85,95,150
Ptéra,Aerodactyl,0142,/images/thumb/3/34/Pt%C3%A9ra-RFVF.png/250px-Pt%C3%A9ra-RFVF.png,/images/7/75/Cri_0142_HOME.ogg,Roche,Vol,"1,8","59,0",Tête de Roc,Pression,Tension,12.5 % femelle; 87.5 % mâle,45,35,Aérien,,+2 Vit.,202 exp.,1 250 000 exp.,80,105,65,65,75,130
Kabutops,Kabutops,0141,/images/thumb/3/35/Kabutops-RFVF.png/250px-Kabutops-RFVF.png,/images/9/9b/Cri_0141_HOME.ogg,Roche,Eau,"1,3","40,5",Glissade,Armurbaston,Armurouillée,12.5 % femelle; 87.5 % mâle,45,30,Aquatique 1,Aquatique 3,+2 Att.,199 exp.,1 000 000 exp.,60,115,105,105,70,80
Kabuto,Kabuto,0140,/images/thumb/5/57/Kabuto-RFVF.png/250px-Kabuto-RFVF.png,/images/d/dc/Cri_0140_HOME.ogg,Roche,Eau,"0,5","11,5",Glissade,Armurbaston,Armurouillée,12.5 % femelle; 87.5 % mâle,45,30,Aquatique 1,Aquatique 3,+1 Déf.,99 exp.,1 000 000 exp.,30,80,90,90,45,55
Amonistar,Omastar,0139,/images/thumb/f/f2/Amonistar-RFVF.png/250px-Amonistar-RFVF.png,/images/1/1a/Cri_0139_HOME.ogg,Roche,Eau,"1,0","35,0",Glissade,Coque Armure,Armurouillée,12.5 % femelle; 87.5 % mâle,45,30,Aquatique 1,Aquatique 3,+2 Déf.,199 exp.,1 000 000 exp.,70,60,125,125,70,55
Amonita,Omanyte,0138,/images/thumb/8/83/Amonita-RFVF.png/250px-Amonita-RFVF.png,/images/f/f9/Cri_0138_HOME.ogg,Roche,Eau,"0,4","7,5",Glissade,Coque Armure,Armurouillée,12.5 % femelle; 87.5 % mâle,45,30,Aquatique 1,Aquatique 3,+1 Déf.,99 exp.,1 000 000 exp.,35,40,100,100,55,35
Porygon,Porygon,0137,/images/thumb/0/01/Porygon-RFVF.png/250px-Porygon-RFVF.png,/images/3/35/Cri_0137_HOME.ogg,Normal,,"0,8","36,5",Calque,Télécharge,Analyste,Asexué,45,20,Minéral,,+1 Att. Spé,130 exp.,1 000 000 exp.,65,60,70,70,75,40
Pyroli,Flareon,0136,/images/thumb/6/64/Pyroli-RFVF.png/250px-Pyroli-RFVF.png,/images/a/a1/Cri_0136_HOME.ogg,Feu,,"0,9","25,0",Torche,,Cran,12.5 % femelle; 87.5 % mâle,45,35,Terrestre,,+2 Att.,184 exp. (198 avant la ,1 000 000 exp.,65,130,60,60,110,65
Voltali,Jolteon,0135,/images/thumb/8/89/Voltali-RFVF.png/250px-Voltali-RFVF.png,/images/a/a2/Cri_0135_HOME.ogg,Électrik,,"0,8","24,5",Absorbe-Volt,,Pied Véloce,12.5 % femelle; 87.5 % mâle,45,35,Terrestre,,+2 Vit.,197 exp.,1 000 000 exp.,65,65,60,60,95,130
Aquali,Vaporeon,0134,/images/thumb/6/6b/Aquali-RFVF.png/250px-Aquali-RFVF.png,/images/0/07/Cri_0134_HOME.ogg,Eau,,"1,0","29,0",Absorbe-Eau,,Hydratation,12.5 % femelle; 87.5 % mâle,45,35,Terrestre,,+2 PV,196 exp.,1 000 000 exp.,130,65,60,60,95,65
Évoli Gigamax,Gigantamax Eevee,0133,/images/thumb/3/34/%C3%89voli_%28Gigamax%29-EB.png/250px-%C3%89voli_%28Gigamax%29-EB.png,/images/7/73/Cri_0133_Gigamax_HOME.ogg,Normal,,"18,0","???,?",Fuite,Adaptabilité,Anticipation,12.5 % femelle; 87.5 % mâle,,,,,,,,,,,,,
Évoli,Eevee,0133,/images/thumb/8/8b/%C3%89voli-RFVF.png/250px-%C3%89voli-RFVF.png,/images/1/14/Cri_0133_HOME.ogg,Normal,,"0,3","6,5",Fuite,Adaptabilité,Anticipation,12.5 % femelle; 87.5 % mâle,45,35,Terrestre,,+1 Déf. Spé,92 exp.,1 000 000 exp.,55,55,50,50,65,55
Métamorph,Ditto,0132,/images/thumb/e/e3/M%C3%A9tamorph-RFVF.png/250px-M%C3%A9tamorph-RFVF.png,/images/d/da/Cri_0132_HOME.ogg,Normal,,"0,3","4,0",Échauffement,,Imposteur,Asexué,35,20,Métamorph,,+1 PV,61 exp.,1 000 000 exp.,48,48,48,48,48,48
Lokhlass Gigamax,Gigantamax Lapras,0131,/images/thumb/c/c7/Lokhlass_%28Gigamax%29-EB.png/250px-Lokhlass_%28Gigamax%29-EB.png,/images/2/25/Cri_0131_Gigamax_HOME.ogg,Eau,Glace,"24,0","???,?",Absorbe-Eau,Coque Armure,Hydratation,50 % femelle; 50 % mâle,,,,,,,,,,,,,
Lokhlass,Lapras,0131,/images/thumb/4/4d/Lokhlass-RFVF.png/250px-Lokhlass-RFVF.png,/images/4/48/Cri_0131_HOME.ogg,Eau,Glace,"2,5","220,0",Absorbe-Eau,Coque Armure,Hydratation,50 % femelle; 50 % mâle,45,40,Monstrueux,Aquatique 1,+2 PV,219 exp.,1 250 000 exp.,130,85,80,80,95,60
Méga-Léviator,Mega Gyarados,0130,/images/thumb/e/e4/M%C3%A9ga-L%C3%A9viator-XY.png/250px-M%C3%A9ga-L%C3%A9viator-XY.png,/images/3/30/Cri_0130_M%C3%A9ga_HOME.ogg,Eau,Ténèbres,"6,5","305,0",Brise Moule,,,50 % femelle; 50 % mâle,,,,,,,,95,155,109,109,130,81
Léviator,Gyarados,0130,/images/thumb/f/f2/L%C3%A9viator-RFVF.png/250px-L%C3%A9viator-RFVF.png,/images/7/74/Cri_0130_HOME.ogg,Eau,Vol,"6,5","235,0",Intimidation,,Impudence,50 % femelle; 50 % mâle,45,5,Aquatique 2,Draconique,+2 Att.,214 exp.,1 250 000 exp.,95,125,79,79,100,81
Magicarpe,Magikarp,0129,/images/thumb/0/06/Magicarpe-RFVF.png/250px-Magicarpe-RFVF.png,/images/6/6d/Cri_0129_HOME.ogg,Eau,,"0,9","10,0",Glissade,,Phobique,50 % femelle; 50 % mâle,255,5,Aquatique 2,Draconique,+1 Vit.,20 exp.,1 250 000 exp.,20,10,55,55,20,80
Tauros,Tauros,0128,/images/thumb/4/48/Tauros-RFVF.png/250px-Tauros-RFVF.png,/images/c/c2/Cri_0128_HOME.ogg,Normal,,"1,4","88,4",Intimidation,Colérique,Sans Limite,0 % femelle; 100 % mâle,45,20,Terrestre,,+1 Att. ; +1 Vit.,211 exp.,1 250 000 exp.,75,100,95,95,70,110
Méga-Scarabrute,Mega Pinsir,0127,/images/thumb/e/e3/M%C3%A9ga-Scarabrute-XY.png/250px-M%C3%A9ga-Scarabrute-XY.png,/images/b/bc/Cri_0127_M%C3%A9ga_HOME.ogg,Insecte,Vol,"1,7","59,0",Peau Céleste,,,50 % femelle; 50 % mâle,,,,,,,,65,155,120,120,90,105
Scarabrute,Pinsir,0127,/images/thumb/9/92/Scarabrute-RFVF.png/250px-Scarabrute-RFVF.png,/images/e/e2/Cri_0127_HOME.ogg,Insecte,,"1,5","55,0",Hyper Cutter,Brise Moule,Impudence,50 % femelle; 50 % mâle,45,25,Insectoïde,,+2 Att.,200 exp.,1 250 000 exp.,65,125,100,100,70,85
Magmar,Magmar,0126,/images/thumb/8/8d/Magmar-RFVF.png/250px-Magmar-RFVF.png,/images/6/66/Cri_0126_HOME.ogg,Feu,,"1,3","44,5",Corps Ardent,,Esprit Vital,25 % femelle; 75 % mâle,45,25,Humanoïde,,+2 Att. Spé,127 exp.,1 000 000 exp.,65,95,57,57,85,93
